Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
09-May-24,Thursday,May,Q2,2024,EQ,2864.8,2883.65,2756,2860.55,2765,2766.65,2814.22,3350,1857.75,1485510,116557
08-May-24,Wednesday,May,Q2,2024,EQ,2850,2890.9,2820,2835.95,2862,2860.55,2860.65,3350,1857.75,951411,57225
07-May-24,Tuesday,May,Q2,2024,EQ,2889.95,2905.35,2822,2874.65,2839,2835.95,2857.91,3350,1857.75,1262311,73865
06-May-24,Monday,May,Q2,2024,EQ,2993.25,3000.2,2850,2993.25,2872,2874.65,2890.39,3350,1857.75,2377944,126554
03-May-24,Friday,May,Q2,2024,EQ,3030,3045,2975.1,3039.6,2990,2993.25,3007.11,3350,1785.35,1472168,93663
02-May-24,Thursday,May,Q2,2024,EQ,3071.95,3119.85,3015.05,3054.7,3029,3039.6,3065.29,3350,1785.35,2219085,169345
30-Apr-24,Tuesday,April,Q2,2024,EQ,3094,3108.45,3045,3081.2,3052.5,3054.7,3074.15,3350,1785.35,804552,50263
29-Apr-24,Monday,April,Q2,2024,EQ,3110,3110.5,3051.5,3080.4,3080,3081.2,3079,3350,1785.35,648544,51392
26-Apr-24,Friday,April,Q2,2024,EQ,3119.9,3129.9,3066.05,3115.25,3089,3080.4,3090.2,3350,1775.8,662764,51695
25-Apr-24,Thursday,April,Q2,2024,EQ,3050,3120.9,3025.65,3043.55,3115,3115.25,3078.5,3350,1775.8,1515529,103832
24-Apr-24,Wednesday,April,Q2,2024,EQ,3071.95,3087.85,3040,3065.1,3042.9,3043.55,3066.42,3350,1775.8,605917,36665
23-Apr-24,Tuesday,April,Q2,2024,EQ,3059,3091,3043.1,3063.35,3058,3065.1,3066.74,3350,1775.8,1654272,61219
22-Apr-24,Monday,April,Q2,2024,EQ,3053,3077.5,3025,3026.95,3072.25,3063.35,3050.24,3350,1775.8,993929,51253
19-Apr-24,Friday,April,Q2,2024,EQ,3000,3057.05,2962.5,3019.3,3032,3026.95,3020.56,3350,1775.8,1727317,91721
18-Apr-24,Thursday,April,Q2,2024,EQ,3125.15,3145,3008.3,3106.4,3035,3019.3,3095.25,3350,1775.8,1703646,106820
16-Apr-24,Tuesday,April,Q2,2024,EQ,3101,3149.2,3100,3147.45,3108,3106.4,3119.45,3350,1775.8,1134184,48602
